category_clean,total_spent,avg_transaction,num_transactions,pct_of_total
groceries,16561264.48,98.54376103772462,168060,0.23454871087612755
transport,8351732.29,63.43457181051048,131659,0.1182813090490557
shopping,7247482.55,36.131547316363054,200586,0.10264238526306838
home,7088114.41,57.68744789250515,122871,0.10038533587913594
kids & pets,6424299.77,56.94897321111978,112808,0.09098406894926314
miscellaneous,5617771.15,41.56324373714506,135162,0.07956161697802924
entertainment,5590180.84,60.15669116618421,92927,0.07917086954138347
dining,4596137.99,50.36532381432454,91256,0.06509274952194327
health,4587209.0,53.531356486019696,85692,0.06496629280745417
personal care,4268753.33,47.158123398144056,90520,0.06045616817537092
travel,276116.24,7.817339259930352,35321,0.003910492959168263
