year,month,month_label,total_spent,estimated_income,savings_rate,kpi_savings,kpi_stability,kpi_essential,kpi_avg_txn,kpi_diversity,health_score
2019,1,Jan 2019,2846897.19,9953790.91,0.714,100,100.0,100.0,67.4,100.0,95.1
2019,2,Feb 2019,2727054.12,9953790.91,0.726,100,93.9,100.0,67.0,100.0,93.8
2019,3,Mar 2019,3851717.67,9953790.91,0.613,100,60.7,100.0,67.5,100.0,87.3
2019,4,Apr 2019,3716544.16,9953790.91,0.6266,100,64.2,100.0,67.3,100.0,87.9
2019,5,May 2019,3943308.37,9953790.91,0.6038,100,94.1,100.0,67.4,100.0,93.9
2019,6,Jun 2019,4687300.0,9953790.91,0.5291,100,75.3,100.0,67.3,100.0,90.2
2019,7,Jul 2019,4693025.79,9953790.91,0.5285,100,80.6,100.0,67.5,100.0,91.2
2019,8,Aug 2019,4730727.1,9953790.91,0.5247,100,99.0,100.0,67.6,100.0,94.9
2019,9,Sep 2019,3811363.36,9953790.91,0.6171,100,76.4,100.0,67.7,100.0,90.4
2019,10,Oct 2019,3760888.11,9953790.91,0.6222,100,73.4,100.0,67.1,100.0,89.7
2019,11,Nov 2019,3836183.82,9953790.91,0.6146,100,98.0,100.0,67.3,100.0,94.7
2019,12,Dec 2019,7656762.24,9953790.91,0.2308,100,12.4,100.0,67.5,100.0,77.6
2020,1,Jan 2020,2866077.71,9953790.91,0.7121,100,100.0,100.0,67.0,100.0,95.1
2020,2,Feb 2020,2603254.0,9953790.91,0.7385,100,86.4,100.0,67.3,100.0,92.4
2020,3,Mar 2020,4006248.28,9953790.91,0.5975,100,52.8,100.0,66.9,100.0,85.6
2020,4,Apr 2020,3682158.96,9953790.91,0.6301,100,57.2,100.0,66.9,100.0,86.5
2020,5,May 2020,4025196.2,9953790.91,0.5956,100,90.1,100.0,67.6,100.0,93.2
2020,6,Jun 2020,3164354.97,9953790.91,0.6821,100,76.1,100.0,67.1,100.0,90.3
